Players_ID,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1314,314,Bennedict Mathurin,SF,20,IND,78,17,28.5,5.3,12.2,0.828,1.1,3.0,4.1,1.5,0.6,0.2,1.9,2.1,16.7
1315,315,Wesley Matthews,SG,36,MIL,52,0,15.8,1.1,3.1,0.857,0.7,1.5,2.2,0.7,0.4,0.3,0.3,1.4,3.4
1316,316,Tyrese Maxey,SG,22,PHI,60,41,33.6,7.3,15.2,0.845,0.4,2.6,2.9,3.5,0.8,0.1,1.3,2.2,20.3
1317,317,Skylar Mays,SG,25,POR,6,6,31.5,5.7,11.3,0.923,0.3,2.8,3.2,8.3,1.0,0.2,1.7,1.8,15.3
1318,318,Miles McBride,PG,22,NYK,64,2,11.9,1.2,3.4,0.667,0.2,0.6,0.8,1.1,0.6,0.1,0.4,0.9,3.5
1319,319,Mac McClung,SG,24,PHI,2,0,20.5,4.5,10.0,0.6,1.5,3.5,5.0,4.5,0.0,0.0,1.5,1.5,12.5
1320,320,CJ McCollum,SG,31,NOP,75,75,35.3,7.8,17.9,0.769,0.7,3.6,4.4,5.7,0.9,0.5,2.4,2.0,20.9
1321,321,T.J. McConnell,PG,30,IND,75,6,20.3,3.8,6.9,0.853,0.6,2.5,3.1,5.3,1.1,0.1,1.9,1.4,8.7
1322,322,Jaden McDaniels,SF,22,MIN,79,79,30.6,4.7,9.1,0.736,1.2,2.7,3.9,1.9,0.9,1.0,1.4,3.4,12.1
1323,323,Jalen McDaniels,SF,25,TOT,80,24,23.9,3.5,7.7,0.841,0.8,3.5,4.3,1.6,1.0,0.4,1.2,2.6,9.4
1323,323,Jalen McDaniels,SF,25,CHO,56,21,26.7,3.9,8.8,0.846,0.8,4.0,4.8,2.0,1.2,0.5,1.4,2.8,10.6
1323,323,Jalen McDaniels,SF,25,PHI,24,3,17.5,2.5,5.1,0.824,0.8,2.4,3.2,0.8,0.7,0.2,0.5,2.1,6.7
1324,324,Doug McDermott,SF,31,SAS,64,0,20.5,3.7,8.2,0.757,0.4,1.8,2.2,1.4,0.2,0.1,0.9,1.8,10.2
1325,325,JaVale McGee,C,35,DAL,42,7,8.5,1.9,3.0,0.585,0.7,1.8,2.5,0.3,0.1,0.6,0.9,1.3,4.4
1326,326,Bryce McGowens,SG,20,CHO,46,7,17.1,1.7,4.4,0.75,0.4,1.6,2.0,1.2,0.3,0.1,0.9,1.0,5.3
1327,327,Rodney McGruder,SG,31,DET,32,12,16.4,1.9,4.8,0.818,0.6,1.7,2.3,0.9,0.5,0.0,0.3,1.2,5.7
